league,gender
LALIGA EA SPORTS,M
Premier League,M
Liga F,F
Barclays WSL,F
Bundesliga,M
Ligue 1 McDonald's,M
NWSL,F
Arkema PL,F
Serie A Enilive,M
MLS,M
Trendyol Süper Lig,M
GPFBL,F
ROSHN Saudi League,M
Calcio A Femminile,F
Liga Portugal,M
Libertadores,M
Serie BKT,M
Nederland Vrouwen Liga,F
Sverige Liga,F
Eredivisie,M
1A Pro League,M
Liga Portugal Feminino,F
Liga Hrvatska,M
Scottish Prem,M
Primera División,M
Hellas Liga,M
United Emirates League,M
Ceska Liga Žen,F
Česká Liga,M
Magyar Liga,M
CSL,M
Scottish Women's League,F
Sudamericana,M
Ukrayina Liha,M
LALIGA HYPERMOTION,M
Ö. Bundesliga,M
EFL Championship,M
Ligue 2 BKT,M
Liga Colombia,M
Bundesliga 2,M
Eliteserien,M
3F Superliga,M
K League 1,M
CSSL,M
Liga Cyprus,M
Allsvenskan,M
Liga Azerbaijan,M
A-League,M
PKO BP Ekstraklasa,M
Schweizer Damen Liga,F
SUPERLIGA,M
EFL League One,M
ISL,M
3. Liga,M
SSE Airtricity PD,M
EFL League Two,M
Finnliiga,M
